class_name,class_id,image_path,image_h,image_w,img_mean,img_std,img_min,img_max,img_p10,img_p50,img_p90,img_entropy,img_skew,img_kurtosis,img_grad_mean,gb_rect_w,gb_rect_h,gb_rect_area,gb_rect_aspect,gb_rect_area_ratio_img,gb_mean,gb_std,gb_min,gb_max,gb_p10,gb_p50,gb_p90,gb_entropy,gb_skew,gb_kurtosis,gb_grad_mean,poly_count,poly_area_total,poly_area_mean,poly_area_max,poly_area_total_ratio_gb,poly_mbr_area_mean,poly_mbr_aspect_mean,poly_mbr_fill_mean
malignant,0,malignant/00193839_US_Image1_1.png,320,320,105.508037109375,48.70606467562457,0.0,254.0,42.0,104.0,169.0,7.46173044856486,0.0640813304094595,0.12714870382851196,2.9615425931893866,319.6275017836356,158.01134016747403,50504.76991121395,2.0228136882129273,0.49321064366419876,111.32612028301887,41.2296156242484,0.0,251.0,67.0,104.0,172.0,7.277192248959641,0.6274731518838363,0.40955323341209393,2.935474360738222,0,0.0,,,0.0,,,
malignant,0,malignant/00193839_US_Image20_L_1.png,320,320,58.582109375,35.61928512609829,2.0,217.0,15.0,52.0,108.0,6.990336646350178,0.9623508654590633,1.0164643227658896,2.8164337542358813,318.9897332637284,266.48768240236654,85006.83472760007,1.1970149253731346,0.8301448703867195,55.747239507790205,35.00686965931092,2.0,217.0,13.0,50.0,104.0,6.930113201432108,1.0162278962658757,1.1932243185078155,2.7129522405867283,0,0.0,,,0.0,,,
malignant,0,malignant/00193839_US_Image9.png,320,320,119.067353515625,45.65169515083265,0.0,253.0,65.0,117.0,176.0,7.384132529230353,-0.15994160991501877,0.5098377061140846,3.183927577417748,318.6344238975817,145.6614509246088,46412.752499448594,2.1874999999999996,0.4532495361274277,123.77992294520548,36.092174487562225,32.0,253.0,87.0,115.0,177.0,7.030768798945004,1.0242731266822482,0.9845385802212023,2.9100366018108264,0,0.0,,,0.0,,,
malignant,0,malignant/00214547_US_Image11_1.png,320,320,45.071796875,30.258354694240897,0.0,248.0,14.0,39.0,83.0,6.68912698066814,1.4485071306047912,2.9945135446022624,2.40857820877157,205.27227606873623,317.6476096830079,65204.247827424566,0.6462264150943396,0.6367602326896931,53.19310953525885,32.173926400218214,0.0,242.0,18.0,48.0,95.0,6.8250535609069205,1.2690693695906277,2.132810229677454,2.8181181805730984,0,0.0,,,0.0,,,
malignant,0,malignant/00214547_US_Image16_1.png,320,320,68.06869140625,33.97666231800819,2.0,240.0,30.0,62.0,114.0,6.975776379500235,1.0251572817499193,1.11606122730735,2.6414515766755535,210.17283950617286,318.4197530864197,66923.18366102727,0.6600496277915635,0.6535467154397194,77.95942593115333,35.57388533302698,3.0,240.0,37.0,73.0,126.0,7.10273664118793,0.7502483560974769,0.46246679260593737,2.867831461341891,0,0.0,,,0.0,,,
malignant,0,malignant/00214547_US_Image17_1.png,320,320,53.321572265625,31.16152725286592,0.0,223.0,16.0,49.0,95.0,6.888051951654504,0.6523507789992956,0.2639111177436537,2.468041680094532,200.18535681186293,318.81371640407787,63821.837574866404,0.6279069767441863,0.6232601325670547,63.92880907960199,30.414335855145175,0.0,223.0,25.0,62.0,104.0,6.9096403471959675,0.5138304425143043,0.3396599848574873,2.9267090595313983,0,0.0,,,0.0,,,
malignant,0,malignant/00214547_US_Image6_1.png,320,320,55.092666015625,37.148459508691914,0.0,244.0,12.0,49.0,105.0,7.010715311317485,1.0192323315737473,1.2078231948186158,2.7931132139962305,244.95247880811706,318.9314153609042,78123.04076243467,0.7680412371134018,0.7629203199456511,61.35917174796748,38.1763010800077,0.0,244.0,19.0,53.0,114.0,7.1265526382709625,0.9361524769312254,0.7902039644486569,3.147778808165754,0,0.0,,,0.0,,,
malignant,0,malignant/00214547_US_Image7_1.png,320,320,55.504853515625,36.47491453733492,0.0,240.0,14.0,49.0,104.0,6.9950585552436495,1.0583189545935425,1.3546477238304764,2.7649781736149768,224.40277421012067,318.9314153609042,71569.0943897472,0.7036082474226801,0.698916937399875,63.4174549893195,37.69942143588637,0.0,240.0,22.0,55.0,115.0,7.118806353283163,0.9437300218705654,0.7871920970719466,3.1255600405032387,0,0.0,,,0.0,,,
malignant,0,malignant/00257272_US_Image6.png,320,320,76.794326171875,28.226568909753258,0.0,234.0,46.0,72.0,114.0,6.734317970830709,0.8751891545637366,1.5785324367924591,2.8214923973866934,317.6755447941889,264.98789346246974,84180.17341955456,1.1988304093567252,0.8220720060503375,75.33585924057793,28.66282008759726,6.0,221.0,43.0,70.0,114.0,6.73234504705258,0.9412693332551499,1.4113911457058634,2.8403356392820527,0,0.0,,,0.0,,,
malignant,0,malignant/00257272_US_Image7_1.png,320,320,83.57234375,35.33492955774195,0.0,254.0,45.0,77.0,130.0,7.031713044117797,1.07856615379484,1.7273955610759888,2.9986425648687978,317.99163179916314,272.56425582785414,86673.1524808239,1.1666666666666665,0.846417504695546,80.43134338603757,34.66979566405812,0.0,254.0,43.0,73.0,124.0,6.948253550057512,1.3289899521172086,2.519972785511537,2.9544877295349234,0,0.0,,,0.0,,,
malignant,0,malignant/00257272_US_Image8_1.png,320,320,76.0627734375,31.971695931644675,5.0,254.0,40.0,72.0,116.0,6.843296590864786,1.3260315924395756,2.9156762866850876,3.156280823054913,318.8004891053781,275.1819111191292,87728.12785773109,1.1585081585081585,0.8567199986106552,73.6828464673913,32.15324549392411,5.0,254.0,39.0,69.0,113.0,6.809038176661328,1.484599766247682,3.524077577266601,3.1870718644912195,0,0.0,,,0.0,,,
malignant,0,malignant/00264769_US_Image3_1.png,320,320,61.92740234375,41.173118495100134,0.0,255.0,24.0,52.0,114.0,7.040402264600422,1.6138319396466538,3.3251288479713956,3.091289954003457,318.7052598817305,317.9938642123516,101346.31713459324,1.0022371364653246,0.989710128267512,61.9273886852527,41.18011693747748,0.0,255.0,24.0,52.0,114.0,7.0397580558980755,1.6208837623759003,3.3447791829714086,3.0964819182389935,0,0.0,,,0.0,,,
malignant,0,malignant/00264769_US_Image6_1.png,320,320,62.161298828125,38.06418136003874,0.0,255.0,20.900000000001455,56.0,108.0,6.9650326469254,1.34488510995999,3.46164125232501,3.4626119395697224,319.75450709627927,255.92635212888376,81833.60457792004,1.2494004796163072,0.7991562947062504,61.80374513618677,37.357386803876174,0.0,255.0,23.0,56.0,106.0,6.942163793152783,1.5849639672904121,4.491397678346191,3.5580077578764335,0,0.0,,,0.0,,,
malignant,0,malignant/00273022_US_Image10_1.png,320,320,51.8920703125,47.12392832430045,0.0,255.0,1.0,44.0,124.0,6.838620350225563,0.8147980634581203,-0.12947392155148219,4.022412328245393,319.0455148033583,191.33893062306672,61045.82762256038,1.6674364896073899,0.5961506603765662,55.91150716145833,42.60679097416849,0.0,217.0,4.0,50.0,121.0,7.104407006145339,0.8553097051434297,0.28649806013836,4.000162763065805,0,0.0,,,0.0,,,
malignant,0,malignant/00273022_US_Image13_L_1.png,320,320,47.4474609375,34.6898562459642,0.0,246.0,5.0,42.0,95.0,6.88589569664696,0.9908800782688348,1.1205591493035962,4.062940067774099,318.45629659616094,253.68552440711133,80787.75260274367,1.25531914893617,0.7889428965111687,47.584461122047244,33.93313505564568,0.0,245.0,7.0,42.0,95.0,6.8811915479012935,1.0024662733305714,1.121402797596403,4.02509873399033,0,0.0,,,0.0,,,
malignant,0,malignant/00273022_US_Image1_1.png,320,320,55.127705078125,36.74278083333032,0.0,209.0,11.0,51.0,107.0,7.021892772521431,0.9766861157883017,0.939270436252877,2.839432025703376,319.4255943259927,256.3810691300731,81894.67538080702,1.2459016393442621,0.7997526892656935,55.141780155642024,37.295496991705086,0.0,209.0,11.0,49.0,109.0,7.016485365085531,1.0366401539104264,0.9627804374474929,2.9109060178260924,0,0.0,,,0.0,,,
malignant,0,malignant/00273022_US_Image8_1.png,320,320,96.116123046875,53.37947911724701,0.0,239.0,26.0,92.0,173.0,7.640330853293136,0.27648299193853443,-0.7566652019441888,4.899852537622437,319.35999999999996,219.51999999999998,70105.90719999999,1.4548104956268222,0.6846279999999999,93.93694852941177,47.95569632635461,0.0,232.0,34.0,89.0,164.0,7.519894010084403,0.4309352664686602,-0.5330289239967652,4.754931489415857,0,0.0,,,0.0,,,
malignant,0,malignant/00273022_US_Image9_1.png,320,320,92.4864453125,56.547300719081164,0.0,249.0,19.0,88.0,175.0,7.689418761176238,0.29917497531427756,-0.832492568090041,5.312395628863563,318.3630482208681,167.90792146242376,53455.67769720735,1.8960573476702516,0.5220281025117905,101.98449296062029,48.61238537374153,1.0,231.0,40.0,95.0,175.0,7.520115919290266,0.41039283195055853,-0.689242708862841,5.126989426822482,0,0.0,,,0.0,,,
malignant,0,malignant/00286463_US_Image14_1.png,320,320,80.3126953125,45.75318844508588,0.0,232.0,20.0,83.0,142.0,7.236055414542118,0.02994004598990701,-0.7715844813912938,2.3488120001171886,285.71428571428567,317.5745118191161,90735.57480546173,0.8996763754045307,0.8860895977095872,80.04080353608656,44.814859793255025,0.0,232.0,23.0,83.0,142.0,7.248080978244118,0.08246277371161152,-0.7446874099713829,2.3752295292862877,0,0.0,,,0.0,,,
malignant,0,malignant/00286463_US_Image4_1.png,320,320,73.63060546875,43.02766203297632,0.0,248.0,22.0,66.0,134.0,7.16007381235497,0.45307657525608,-0.13967654458440038,3.01604507856522,318.08841099163675,210.27479091995218,66885.97411532624,1.5127272727272727,0.6531833409699829,64.88708790800636,35.73378199857257,0.0,244.0,26.0,60.0,110.0,6.960785225655067,0.899061011097109,1.6748215583803825,2.943052831758483,0,0.0,,,0.0,,,
malignant,0,malignant/00290796_US_Image3_1.png,320,320,52.486611328125,38.10769018468864,0.0,242.0,5.0,48.0,106.0,6.985525811625033,0.9147206317000706,0.7956309224213829,3.4341155675348394,317.3076923076923,289.5299145299145,91870.06903353057,1.0959409594095944,0.897168642905572,50.59850357839948,37.736865634363795,0.0,242.0,5.0,46.0,103.0,6.940460626246601,1.053354551897778,1.194265364779521,3.3695225495830576,0,0.0,,,0.0,,,
malignant,0,malignant/00290796_US_Image4_1.png,320,320,65.616083984375,44.52007273209548,0.0,235.0,12.0,58.0,132.0,7.295573012511649,0.8671113785546746,0.404490458198802,3.810125098877919,319.327731092437,284.78057889822594,90938.33611876123,1.1213114754098361,0.8880696886597776,62.437325174825176,44.37294421727779,0.0,235.0,11.0,55.0,129.0,7.247252504054966,0.9877132648455683,0.6778064534651103,3.831521323441034,0,0.0,,,0.0,,,
malignant,0,malignant/00290796_US_Image5_1.png,320,320,64.611591796875,41.27915551562762,0.0,233.0,11.0,61.0,119.0,7.224275067860784,0.7279241440209824,0.5102280336327296,3.9428705358450764,317.07828169435714,309.41475826972004,98108.69988303771,1.0247678018575854,0.9580927722952901,63.540048691418136,41.372806753306484,0.0,233.0,11.0,60.0,118.0,7.212794601591254,0.7842275903724807,0.6202167854915532,3.9534687915276074,0,0.0,,,0.0,,,
malignant,0,malignant/00290796_US_Image6_1.png,320,320,57.953681640625,37.36248370483365,0.0,218.0,10.0,54.0,110.0,7.081283075016553,0.7266492934469942,0.3386250116813434,3.4127384056484926,304.7619047619047,316.36183885318826,96415.0366028764,0.9633333333333334,0.9415530918249648,57.556782334384856,37.90417248341892,0.0,218.0,10.0,53.0,111.0,7.088859212173815,0.7356124220196523,0.27701287957983745,3.4268203420583294,0,0.0,,,0.0,,,
malignant,0,malignant/00290796_US_Image7_1.png,320,320,60.729990234375,39.92192056014893,0.0,229.0,9.0,57.0,114.0,7.141908935392423,0.7555877850885898,0.5748351661272197,3.4442719167179368,305.1181102362205,317.91338582677173,97001.13150226304,0.959752321981424,0.9472766748267876,60.61561866125761,40.53193930008317,0.0,229.0,8.0,57.0,115.0,7.1545735253623235,0.749109210635067,0.501386212324364,3.4505444971468964,0,0.0,,,0.0,,,
malignant,0,malignant/00290796_US_Image9_1.png,320,320,64.37259765625,37.50830792203318,0.0,229.0,15.0,61.0,115.10000000000582,7.128199504747608,0.6989155518207013,0.6115269618449375,4.580240041406654,267.71653543307076,317.44716121011186,84985.85418223463,0.8433420365535246,0.829939982248385,64.87396834303617,39.387948851768776,0.0,229.0,12.0,62.0,118.0,7.188723065151324,0.6097975652324085,0.28848139979761145,4.559228907775219,0,0.0,,,0.0,,,
malignant,0,malignant/00299750_US_Image1_1.png,320,320,26.725654296875,30.749747173465536,0.0,179.0,2.0,16.0,76.0,6.01975331563756,1.6401303073768363,2.1460032384845675,1.7249387201046886,269.90553306342775,317.58884390463334,85718.9862090778,0.8498583569405099,0.8370994746980255,28.775023424215433,32.28675162386494,0.0,179.0,2.0,17.0,82.0,6.132279317637588,1.4921172740518978,1.4890996224659148,1.8474111604664076,0,0.0,,,0.0,,,
malignant,0,malignant/00299750_US_Image3_1.png,320,320,22.683349609375,28.629713314723254,0.0,216.0,2.0,6.0,68.0,5.427726486900532,1.613016886091098,2.2646723351056526,1.422142794363226,244.44444444444446,317.9487179487179,77720.79772079771,0.7688172043010755,0.7589921652421652,28.123229479879726,30.620024945578187,0.0,216.0,2.0,15.0,75.0,5.901828508133643,1.2587175018153582,1.1409767808456959,1.7068480180157126,0,0.0,,,0.0,,,
malignant,0,malignant/00299750_US_Image5_1.png,320,320,28.9075390625,31.362090001405942,0.0,208.0,2.0,19.0,73.0,6.185356718342465,1.807728988041845,3.7284241909163995,1.8464828758093341,255.31914893617017,317.1332586786114,80970.19370517737,0.8050847457627117,0.7907245479021228,31.788439419523776,33.66761405671594,0.0,208.0,3.0,21.0,81.0,6.329172076853514,1.6136148225692373,2.701608397014552,1.9708412358519425,0,0.0,,,0.0,,,
malignant,0,malignant/00299806_US_Image1_L_1.png,320,320,74.2734765625,37.27423021221918,2.0,249.0,29.0,69.0,125.0,7.106914710829249,0.6801713433856758,0.17649757294397972,3.1846893036064805,265.06920057839295,317.2898161536872,84103.75791952314,0.835416666666667,0.8213257609328432,71.7748971485317,37.26832390030542,13.0,247.0,28.0,66.0,123.0,7.067060222899715,0.6986734811992872,0.15452436198776764,3.131178549895374,0,0.0,,,0.0,,,
malignant,0,malignant/00299806_US_Image1_R.png,320,320,74.7428515625,35.04428598430622,10.0,241.0,33.0,68.0,125.0,7.02750870467018,0.622712110089145,-0.12710727446738002,2.7015888827039327,317.9815778934722,311.5738886663997,99074.7567485468,1.020565552699229,0.9675269213725274,74.436007090849,35.10538680305967,10.0,241.0,33.0,68.0,125.0,7.02543196713599,0.6398332017761766,-0.0980594834462325,2.7023716523446106,0,0.0,,,0.0,,,
malignant,0,malignant/00299806_US_Image5.png,320,320,119.419267578125,45.62724722473741,2.0,255.0,57.0,126.0,174.0,7.412050828197059,-0.2262505579298782,-0.6092713761443731,3.23611558706628,269.1075514874141,317.9252479023646,85556.0850190345,0.8464491362763913,0.8355086427640087,118.5572506675955,45.158369130545125,2.0,255.0,57.0,123.0,175.0,7.404424296540037,-0.04171759233356533,-0.7889243609818339,3.2143993312357044,0,0.0,,,0.0,,,
malignant,0,malignant/00299806_US_Image7_L_1.png,320,320,71.543154296875,31.477282436412153,5.0,250.0,37.0,65.0,115.0,6.890688175055055,0.9097219677696191,1.0610449184061688,3.7120772663795547,220.74179069218044,318.51326876131975,70309.18930559346,0.6930379746835442,0.6866131768124362,72.94669434324607,31.662545480191678,6.0,250.0,37.0,68.0,115.0,6.904562149794775,0.8785130385049231,1.2165823862862677,3.783950181453606,0,0.0,,,0.0,,,
malignant,0,malignant/00299806_US_Image7_R.png,320,320,74.49904296875,34.196853711585675,1.0,255.0,30.0,71.0,121.0,7.036677574545277,0.557872585547237,0.440672832794188,3.547759255461479,244.07796101949032,319.04047976012,77870.74978253005,0.7650375939849625,0.76045654084502,73.92783163265307,34.21679860876638,11.0,241.0,27.0,72.0,121.0,7.019454080924507,0.34122949851373807,-0.3274009289600004,3.3747114121353587,0,0.0,,,0.0,,,
malignant,0,malignant/00299806_US_Image8_L_1.png,320,320,65.209892578125,32.80454543146457,5.0,246.0,30.0,58.0,110.0,6.8823886841218265,1.0466514388816623,1.425462144546259,3.4863524057852127,215.9016512693679,319.4878882665309,68977.96263730733,0.6757741347905284,0.6736129163799544,65.56584101382488,33.55974171591968,5.0,246.0,29.0,58.0,110.0,6.903432439362819,1.121396268028069,1.8031419765862458,3.6254122323190137,0,0.0,,,0.0,,,
malignant,0,malignant/00299806_US_Image8_R.png,320,320,67.53857421875,32.348007816338516,2.0,255.0,29.0,63.0,108.0,6.904792605756002,1.0937705515173495,2.8019658995382386,3.296819304876024,232.56663756876927,318.9670923080046,74181.10415315989,0.7291242362525462,0.724424845245702,65.05441255364806,30.305580268159947,8.0,246.0,27.0,61.0,106.0,6.83171925825851,0.7067046464698907,0.6711285458535556,2.959629286873483,0,0.0,,,0.0,,,
malignant,0,malignant/00300461_US_Image9.png,320,320,66.80689453125,36.63962372465346,2.0,252.0,22.0,59.0,119.0,6.962843761599308,0.9704778150928794,0.8782328057264728,3.58814050918466,318.0635085892764,158.7714731910463,50499.411827032425,2.00327868852459,0.4931583186233635,76.1177734375,35.64399160068804,6.0,252.0,38.0,69.0,125.0,7.0106117131411905,0.8939768097186522,1.0500234261598678,3.9308580245707923,0,0.0,,,0.0,,,
malignant,0,malignant/00302266_US_Image1_1.png,320,320,47.97021484375,31.607587096506073,0.0,230.0,18.0,39.0,94.0,6.708504153325848,1.385204433467643,1.8493686529310622,3.6752116719889845,319.0756934277688,275.3927115894433,87871.12041535517,1.1586206896551723,0.8581164103062028,44.45687048736462,28.16120015192471,0.0,224.0,17.0,37.0,81.0,6.566091692938259,1.511932519458294,2.7517106577307864,3.4482338474035132,0,0.0,,,0.0,,,
malignant,0,malignant/00302266_US_Image2_1.png,320,320,48.269951171875,29.84982509170579,0.0,213.0,12.0,46.0,85.0,6.7952287041196096,0.7588737499234999,0.9446350923750435,2.7691676676530044,224.88783078472667,316.4545371302994,71166.77439721777,0.7106481481481483,0.6949880312228298,51.77210997940669,29.668334069100098,0.0,213.0,17.0,48.0,90.0,6.7799431702216095,0.9694739122831967,1.178505463391529,3.0738447409798657,0,0.0,,,0.0,,,
malignant,0,malignant/00305732_US_Image1_1.png,320,320,55.30373046875,40.67249067616038,0.0,227.0,3.0,57.0,110.0,6.924718744167757,0.3486653462480543,-0.5597063506434323,3.647682106270569,192.93139293139293,319.3347193347193,61609.69221260281,0.6041666666666667,0.6016571505136993,53.53212435233161,42.47511467894722,0.0,227.0,4.0,50.0,114.0,6.999935461324606,0.5827951801620901,-0.4738244104946401,3.8821872115804985,0,0.0,,,0.0,,,
malignant,0,malignant/00305732_US_Image2_1.png,320,320,63.432431640625,45.04221722955378,0.0,235.0,4.0,67.0,123.0,7.116393593902357,0.3252518621155878,-0.5196284326927136,3.6060508403402376,215.7318287421175,318.6193162960504,68736.32777711011,0.6770833333333335,0.671253200948341,64.73040752351098,49.33715950178062,0.0,235.0,6.0,62.0,132.0,7.248092327424656,0.4246638677406214,-0.8029905145411624,3.898818294761781,0,0.0,,,0.0,,,
malignant,0,malignant/00305732_US_Image3_1.png,320,320,48.87759765625,42.44001094939768,0.0,214.0,2.0,47.0,108.0,6.847093109156924,0.7812778447566502,0.06579661366927336,2.4193302668971377,277.6902731136141,317.6320247258462,88203.32369575046,0.8742514970059884,0.861360582966313,49.38562488061932,43.17048022289523,0.0,214.0,2.0,45.0,112.0,6.898053388781373,0.8311584241684126,0.0797154882045219,2.554865168539326,0,0.0,,,0.0,,,
malignant,0,malignant/00305732_US_Image4_1.png,320,320,54.515419921875,40.264541440109056,0.0,231.0,2.0,56.0,109.0,6.880214749819501,0.37974267592906913,-0.5303012768842343,3.507153390169826,207.85070785070786,317.8893178893179,66073.51974147341,0.6538461538461539,0.6452492162253263,54.868263562868414,42.60011372465198,0.0,231.0,4.0,51.0,115.0,7.008866507062544,0.4833008158543684,-0.7008317675865348,3.706419679016049,0,0.0,,,0.0,,,
malignant,0,malignant/00316551_US_Image3_1.png,320,320,72.7346875,39.54733195483728,0.0,232.0,27.0,68.0,128.0,7.171638758391928,0.6325450069662237,0.5061034763118331,3.7202023457260327,319.2540792540792,219.5990675990676,70107.89813139463,1.4538043478260867,0.6846474426894007,77.62725852272727,35.14853342401788,0.0,232.0,40.0,71.0,126.0,6.987857722542291,1.0438748259084978,1.7240309062833648,3.7789741331553004,0,0.0,,,0.0,,,
malignant,0,malignant/00316551_US_Image4_1.png,320,320,56.856572265625,48.6791526939473,0.0,244.0,0.0,53.0,128.0,6.784830653123502,0.7017537923443535,-0.034873051404728184,4.284534028652623,318.4994346931589,252.07124719663415,80284.54973452749,1.2635294117647058,0.784028806001245,61.481669960474306,48.11398593206055,0.0,244.0,0.0,58.0,131.0,6.936231354840702,0.6443446164557668,0.06760644384600267,4.446028236514779,0,0.0,,,0.0,,,
malignant,0,malignant/00316551_US_Image6_1.png,320,320,84.510517578125,39.99932160955108,14.0,244.0,40.0,74.0,144.0,7.161457412097966,0.8636264490257521,0.1766317513175868,2.468705749079581,318.90899554156823,307.36952530815626,98022.90657611274,1.0375426621160408,0.957254947032351,83.35300443335261,39.81510065527502,14.0,244.0,40.0,73.0,143.0,7.143762304653465,0.9225483236636958,0.3313086141852013,2.4634878766358934,0,0.0,,,0.0,,,
malignant,0,malignant/00316551_US_Image7_1.png,320,320,47.428330078125,49.07583099287315,0.0,230.0,0.0,39.0,125.0,6.088296511060246,0.8619803554282263,-0.11592386978257752,3.1093858338460336,318.2446296218751,182.90691344583558,58209.14292485031,1.73992673992674,0.5684486613754913,57.10789741847826,46.55729207957606,0.0,230.0,1.0,51.0,129.0,6.856570054278059,0.7934405976636899,0.22036196143513953,3.493418706160091,0,0.0,,,0.0,,,
malignant,0,malignant/00316551_US_Image8_1.png,320,320,111.99,40.88539906899834,0.0,250.0,63.0,112.0,166.0,7.291106442789886,0.18576037622333166,0.2287844331229567,4.2605982480297655,318.8644990922594,220.49843208450238,70309.12209725344,1.4461077844311376,0.6866125204809905,114.12416948198198,37.4671221678266,0.0,248.0,68.0,113.0,163.0,7.227084982505913,0.33958358880057504,0.08915723252626018,4.49471417108912,0,0.0,,,0.0,,,
malignant,0,malignant/00320921_US_Image4.png,320,320,23.24244140625,19.714134550387584,3.0,166.0,10.0,13.0,53.0,4.902771566382756,1.8748713405236463,3.787587174574446,1.7594898387679567,279.2792792792793,319.2322757540149,89154.95989526543,0.8748466257668712,0.8706539052272015,24.139720982142858,20.423010873434766,3.0,166.0,10.0,14.0,55.0,4.9684319188894435,1.7694082687947785,3.277362506444219,1.8276654873380282,0,0.0,,,0.0,,,
